"CODIGO_CLIENTE","UF","IDADE","ESCOLARIDADE","ESTADO_CIVIL","QT_FILHOS","CASA_PROPRIA","QT_IMOVEIS","VL_IMOVEIS","OUTRA_RENDA_VALOR","TEMPO_ULTIMO_EMPREGO_MESES","TRABALHANDO_ATUALMENTE","ULTIMO_SALARIO","QT_CARROS","VALOR_TABELA_CARROS","SCORE_CREDITO","EMPRESTIMO"
"694","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"695","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"696","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"697","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"698","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"699","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"700","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"701","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"702","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"703","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","86","SIM"
"704","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"705","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","82","SIM"
"706","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"707","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"708","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"709","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","SIM"
"710","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","NAO"
"711","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","SIM"
"712","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","NAO"
"713","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","SIM"
"714","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","NAO"
"715","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","SIM"
"716","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","NAO"
"717","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","SIM"
"718","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","NAO"
"719","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","79","SIM"
"720","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"721","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","82","SIM"
"722","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"723","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"724","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"725","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"726","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"727","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"728","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"729","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"730","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"731","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"732","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"733","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"734","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"735","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"736","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"737","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","98","SIM"
"738","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"739","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","58","SIM"
"740","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"741","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"742","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"743","SC","35","Superior Completo","Solteiro","1","Não","0","0","0","8","Sim","1800","0","0","75","SIM"
"744","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"745","RJ","45","Superior Cursando","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","92","SIM"
"746","SP","48","Superior Completo","Divorciado","2","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"747","MG","51","Segundo Grau Completo","Divorciado","1","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"748","SC","53","Superior Cursando","Casado","2","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"749","PR","55","Superior Completo","Casado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"750","RJ","57","Segundo Grau Completo","Casado","3","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"751","SP","62","Superior Cursando","Casado","3","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"752","RJ","65","Superior Completo","Viuvo","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"753","SP","19","Superior Cursando","Solteiro","0","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"754","MG","23","Superior Completo","Solteiro","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"755","SC","25","Segundo Grau Completo","Casado","0","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"756","PR","26","Superior Cursando","Casado","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"757","RJ","28","Superior Completo","Divorciado","2","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"758","SP","30","Segundo Grau Completo","Divorciado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"759","MG","32","Superior Cursando","Solteiro","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"760","SC","35","Superior Completo","Solteiro","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"761","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","9","Não","4800","1","50000","86","SIM"
"762","RJ","45","Superior Cursando","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"763","SP","48","Superior Completo","Divorciado","2","Sim","0","0","0","22","Não","3900","0","0","82","SIM"
"764","MG","51","Segundo Grau Completo","Divorciado","1","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"765","SC","53","Superior Cursando","Casado","2","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"766","PR","55","Superior Completo","Casado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"767","RJ","57","Segundo Grau Completo","Casado","3","Não","0","0","0","8","Sim","1800","0","0","79","SIM"
"768","SP","62","Superior Cursando","Casado","3","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"769","RJ","65","Superior Completo","Viuvo","1","Sim","1","220000","0","18","Sim","2200","2","30000","75","SIM"
"770","SP","19","Superior Cursando","Solteiro","0","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"771","MG","23","Superior Completo","Solteiro","1","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"772","SC","25","Segundo Grau Completo","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"773","PR","27","Superior Cursando","Casado","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"774","RJ","28","Superior Completo","Divorciado","2","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"775","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"776","MG","32","Superior Cursando","Solteiro","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"777","SC","35","Superior Completo","Solteiro","1","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"778","PR","42","Segundo Grau Completo","Casado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"779","RJ","45","Superior Cursando","Casado","0","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"780","SP","48","Superior Completo","Divorciado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"781","MG","51","Segundo Grau Completo","Divorciado","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"782","SC","53","Superior Cursando","Casado","2","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"783","PR","55","Superior Completo","Casado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"784","RJ","57","Segundo Grau Completo","Casado","3","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"785","SP","62","Superior Cursando","Casado","3","Não","0","0","0","9","Não","4800","1","50000","92","SIM"
"786","RJ","65","Superior Completo","Viuvo","1","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"787","SP","19","Superior Cursando","Solteiro","0","Sim","0","0","0","22","Não","3900","0","0","86","SIM"
"788","MG","23","Superior Completo","Solteiro","1","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"789","SC","25","Segundo Grau Completo","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"790","PR","27","Superior Cursando","Casado","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"791","RJ","28","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","82","SIM"
"792","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"793","MG","32","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","79","SIM"
"794","SC","35","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"795","PR","42","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"796","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"797","SP","48","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"798","MG","51","Segundo Grau Completo","Divorciado","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"799","SC","53","Superior Cursando","Casado","2","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"800","PR","55","Superior Completo","Casado","2","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"801","RJ","57","Segundo Grau Completo","Casado","3","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"802","SP","62","Superior Cursando","Casado","3","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"803","RJ","65","Superior Completo","Viuvo","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"804","SP","19","Superior Cursando","Solteiro","0","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"805","MG","23","Superior Completo","Solteiro","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"806","SC","25","Segundo Grau Completo","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"807","PR","27","Superior Cursando","Casado","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"808","RJ","28","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"809","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","82","SIM"
"810","MG","32","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"811","SC","35","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","98","SIM"
"812","PR","42","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"813","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"814","SP","48","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"815","MG","51","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","98","SIM"
"816","SC","53","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"817","PR","55","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","58","SIM"
"818","RJ","57","Segundo Grau Completo","Casado","3","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"819","SP","62","Superior Cursando","Casado","3","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"820","RJ","65","Superior Completo","Viuvo","1","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"821","SP","19","Superior Cursando","Solteiro","0","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"822","MG","23","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"823","SC","25","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"824","PR","27","Superior Cursando","Casado","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"825","RJ","28","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"826","SP","30","Segundo Grau Completo","Divorciado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"827","MG","32","Superior Cursando","Solteiro","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"828","SC","35","Superior Completo","Solteiro","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"829","PR","42","Segundo Grau Completo","Casado","0","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"830","RJ","45","Superior Cursando","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"831","SP","48","Superior Completo","Divorciado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"832","MG","51","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"833","SC","53","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","75","SIM"
"834","PR","55","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"835","RJ","57","Segundo Grau Completo","Casado","3","Sim","0","0","0","22","Não","3900","0","0","92","SIM"
"836","SP","62","Superior Cursando","Casado","3","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"837","RJ","65","Superior Completo","Viuvo","1","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"838","RJ","65","Superior Completo","Viuvo","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"839","SP","23","Segundo Grau Completo","Casado","3","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"840","MG","28","Superior Cursando","Casado","3","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"841","SC","30","Superior Completo","Viuvo","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"842","PR","32","Superior Cursando","Solteiro","0","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"843","RJ","35","Superior Completo","Solteiro","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"844","SP","42","Segundo Grau Completo","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"845","MG","45","Superior Cursando","Casado","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"846","SC","48","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"847","PR","51","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","86","SIM"
"848","RJ","53","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"849","SP","55","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","82","SIM"
"850","MG","57","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"851","SC","62","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"852","PR","65","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"853","RJ","19","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","79","SIM"
"854","SP","23","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"855","RJ","25","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","75","SIM"
"856","SP","27","Segundo Grau Completo","Casado","3","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"857","MG","28","Superior Cursando","Casado","3","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"858","SC","30","Superior Completo","Viuvo","1","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"859","PR","32","Superior Cursando","Solteiro","0","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"860","RJ","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"861","SP","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"862","MG","45","Superior Cursando","Casado","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"863","SC","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"864","PR","51","Segundo Grau Completo","Divorciado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"865","RJ","53","Superior Cursando","Solteiro","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"866","SP","55","Superior Completo","Solteiro","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"867","MG","57","Segundo Grau Completo","Casado","0","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"868","SC","62","Superior Cursando","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"869","PR","65","Superior Completo","Divorciado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"870","RJ","19","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"871","SP","23","Segundo Grau Completo","Casado","3","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"872","RJ","25","Superior Cursando","Casado","3","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"873","SP","27","Superior Completo","Viuvo","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"874","MG","28","Superior Cursando","Solteiro","0","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"875","SC","30","Superior Completo","Solteiro","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"876","PR","32","Segundo Grau Completo","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"877","RJ","35","Superior Cursando","Casado","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"878","SP","42","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"879","MG","45","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","92","SIM"
"880","SC","48","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"881","PR","51","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","86","SIM"
"882","RJ","53","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"883","SP","55","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"884","MG","57","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"885","SC","62","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","82","SIM"
"886","PR","65","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"887","RJ","19","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","79","SIM"
"888","SP","23","Segundo Grau Completo","Casado","3","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"889","RJ","25","Superior Cursando","Casado","3","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"890","SP","27","Superior Completo","Viuvo","1","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"891","MG","28","Superior Cursando","Solteiro","0","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"892","SC","30","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"893","PR","32","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"894","RJ","35","Superior Cursando","Casado","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"895","SP","42","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"896","MG","45","Segundo Grau Completo","Divorciado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"897","SC","48","Superior Cursando","Solteiro","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"898","PR","51","Superior Completo","Solteiro","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"899","RJ","53","Segundo Grau Completo","Casado","0","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"900","SP","55","Superior Cursando","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"901","MG","57","Superior Completo","Divorciado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"902","SC","62","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"903","PR","65","Segundo Grau Completo","Casado","3","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"904","RJ","19","Superior Cursando","Casado","3","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"905","SP","23","Superior Completo","Viuvo","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"906","RJ","25","Superior Cursando","Solteiro","0","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"907","SP","27","Superior Completo","Solteiro","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"908","MG","28","Segundo Grau Completo","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"909","SC","30","Superior Cursando","Casado","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"910","PR","32","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"911","RJ","35","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","82","SIM"
"912","SP","42","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"913","MG","45","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","98","SIM"
"914","SC","48","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"915","PR","51","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"916","RJ","23","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"917","SP","28","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","58","SIM"
"918","MG","30","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"919","SC","32","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","75","SIM"
"920","PR","35","Segundo Grau Completo","Casado","3","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"921","RJ","42","Superior Cursando","Casado","3","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"922","SP","45","Superior Completo","Viuvo","1","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"923","RJ","48","Superior Cursando","Solteiro","0","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"924","SP","51","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"925","MG","53","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"926","SC","55","Superior Cursando","Casado","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"927","PR","57","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"928","RJ","62","Segundo Grau Completo","Divorciado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"929","SP","65","Superior Cursando","Solteiro","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"930","MG","19","Superior Completo","Solteiro","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"931","SC","23","Segundo Grau Completo","Casado","0","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"932","PR","25","Superior Cursando","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"933","RJ","27","Superior Completo","Divorciado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"934","SP","28","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"935","MG","30","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","92","SIM"
"936","SC","32","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"937","PR","35","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","86","SIM"
"938","RJ","42","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"939","SP","45","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"940","RJ","48","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"941","SP","51","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"942","MG","53","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"943","SC","55","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"944","PR","57","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"945","RJ","62","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"946","SP","65","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
